cntry,news,polintr,vote,age,gndr,eduyrs,edutype,pdwrk,hincfel,pstplonl,contplt,netusoft,netustm,trstplt,trstprt,cptppola
SE,30,2,1,44,Female,17,Universitetsuddannelse,1,1,2,2,5,600,6,7,3
SE,20,3,1,44,Male,12,Gymnasial uddannelse,1,1,2,2,5,90,7,7,1
SE,60,1,1,35,Male,12,Gymnasial uddannelse,1,2,2,2,5,NA,2,5,4
SE,15,2,1,34,Female,15,Universitetsuddannelse,0,1,2,2,5,180,6,7,4
SE,30,2,1,61,Male,11,Gymnasial uddannelse,1,2,2,2,5,60,1,1,2
SE,60,1,1,53,Male,15,Videregående uddannelse,1,1,1,2,5,840,4,2,2
SE,10,3,1,56,Female,15,Gymnasial uddannelse,1,1,2,2,5,45,7,9,5
SE,60,3,1,91,Male,9,Grundskole,0,2,2,2,1,NA,7,7,3
SE,120,2,1,66,Female,15,Universitetsuddannelse,0,1,2,2,5,120,6,6,3
SE,150,1,1,76,Female,11,Videregående uddannelse,0,1,2,2,5,90,6,6,4
SE,30,3,1,76,Male,14,Universitetsuddannelse,0,1,2,1,5,30,2,2,3
SE,60,2,1,38,Female,19,Universitetsuddannelse,0,1,2,2,5,90,6,7,3
SE,120,2,1,70,Male,13,Gymnasial uddannelse,0,1,2,1,5,120,5,5,2
SE,30,3,1,45,Male,12,Videregående uddannelse,1,2,2,2,5,180,4,4,2
SE,30,1,1,45,Female,18,Universitetsuddannelse,1,1,2,2,5,720,6,6,4
SE,10,2,1,44,Male,13,Gymnasial uddannelse,1,1,2,2,5,240,8,8,4
SE,20,2,1,44,Male,17,Universitetsuddannelse,1,2,1,2,5,780,6,5,4
SE,10,3,1,33,Female,12,Gymnasial uddannelse,0,2,1,2,5,120,8,8,2
SE,45,2,1,42,Male,17,Universitetsuddannelse,1,1,2,2,5,480,7,8,4
SE,15,2,1,42,Female,16,Universitetsuddannelse,1,3,1,2,5,300,7,7,3
SE,30,2,1,40,Male,13,Gymnasial uddannelse,1,2,1,2,5,480,6,5,2
SE,120,2,1,85,Female,14,Videregående uddannelse,0,1,2,2,5,180,4,2,1
SE,10,4,1,33,Male,12,Gymnasial uddannelse,1,1,2,2,5,720,6,6,3
SE,20,1,1,20,Male,11,Grundskole,0,1,1,2,5,480,0,2,4
SE,120,1,1,68,Male,11,Gymnasial uddannelse,0,3,1,2,4,30,7,6,5
SE,120,1,1,61,Female,17,Videregående uddannelse,1,1,1,1,5,420,9,8,4
SE,NA,1,1,88,Male,16,Videregående uddannelse,0,1,2,2,5,240,3,3,3
