"","height","books","receipt","petowner","dog","cat","bird","fish","rodent","snake","turtle","other","gender","region","year"
"130",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2024
"131",172,35,213.4,2,0,0,0,0,0,0,0,0,2,2,2024
"132",174,47,218,2,0,0,0,0,0,0,0,0,2,1,2024
"133",160,40,56.9,1,0,1,0,0,0,0,0,0,2,2,2024
"134",166,30,40.9,2,0,0,0,0,0,0,0,0,2,1,2024
"135",176,72,234.88,2,0,0,0,0,0,0,0,0,2,1,2024
"136",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2024
"137",172,19,42.95,2,0,0,0,0,0,0,0,0,2,2,2024
"138",175,130,22.45,2,0,0,0,0,0,0,0,0,2,2,2024
"139",172,240,162.95,2,0,0,0,0,0,0,0,0,2,1,2024
"140",208,41,36.45,2,0,0,0,0,0,0,0,0,1,1,2024
"141",180,NA,295.5,2,0,0,0,0,0,0,0,0,2,6,2024
"142",174,87,127.95,2,0,0,0,0,0,0,0,0,2,2,2024
"143",162,15,335,2,0,0,0,0,0,0,0,0,2,1,2024
"144",175,80,218,2,0,0,0,0,0,0,0,0,2,2,2024
"145",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2024
"146",188,103,99.95,2,0,0,0,0,0,0,0,0,1,1,2024
"147",164,40,123.25,1,1,0,0,0,0,0,0,0,2,2,2024
"148",169,25,146.9,2,0,0,0,0,0,0,0,0,2,1,2024
"149",173,19,172.95,2,0,0,0,0,0,0,0,0,2,1,2024
"150",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2024
"151",1.6,15,27.45,2,0,0,0,0,0,0,0,0,2,1,2024
"152",170,30,60.5,1,1,0,0,0,0,0,0,0,2,1,2024
"153",175,15,401.41,1,1,0,0,0,0,0,0,0,2,2,2024
"154",180,121,280.5,1,1,0,0,0,0,0,0,0,1,5,2024
"155",165,5,149.95,2,0,0,0,0,0,0,0,0,2,3,2024
"156",165,200,51.85,2,0,0,0,0,0,0,0,0,2,2,2024
"157",170,61,1467.76,2,0,0,0,0,0,0,0,0,2,3,2024
"158",175,20,89.92,2,0,0,0,0,0,0,0,0,2,3,2024
"159",185,11,366.1,2,0,0,0,0,0,0,0,0,2,1,2024
"160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025
"161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025
"162",164,14,343,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2025
"163",158,57,16.83,1,1,1,0,0,0,0,1,0,2,1,2025
"164",160,42,165,2,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2025
"165",176,18,100,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2025
"166",174,25,62.5,1,1,0,0,0,0,0,0,0,2,1,2025
"167",170,23,183.5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2025
"168",172,245,256,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2025
"169",190,5,203.45,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2025
"170",170,20,67,1,1,0,0,0,0,0,0,0,2,1,2025
"171",158,35,39.45,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2025
"172",167,10,58.5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2025
"173",178,40,250.9,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2025
"174",179,44,71.33,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2025
"175",165,32,193.47,1,1,1,0,0,0,0,0,0,2,2,2025
"176",167,25,114.45,1,1,0,0,0,0,0,0,0,2,1,2025
"177",162,36,121.85,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2025
"178",197,30,17,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2025
"179",172,195,93.5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2025
"180",170,72,113.5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2025
"181",159,10,253,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2025
"182",160,50,240,1,0,1,0,0,0,0,0,0,2,1,2025
"183",170,12,80.9,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2025
"184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025
"185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025
"186",167,12,37.26,2,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2025
"187",174,150,117,1,0,1,0,0,0,0,0,0,2,2,2025
"188",165,29,106.15,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2025
"189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025
"190",170,88,266,1,1,1,0,0,0,0,0,0,2,2,2025
"191",154,24,63,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2025
"192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025
"193",177,60,79.85,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2025
"194",167,132,213.98,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2025
"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025
"196",178,20,30.95,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2025
"197",164,20,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2025
"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025
"199",173,145,74.5,1,0,1,0,0,0,0,0,0,2,1,2025
"200",158,130,458.75,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2025
"201",180,68,36,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2025
"202",155,30,172,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2025
"203",164,40,279.4,2,NA,NA,NA,NA,NA,NA,NA,NA,2,6,2025
"204",170,68,24,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2025
"205",164,87,1417.05,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2025
